id,company,province,city,county
0,广东倾云科技有限公司,广东省,中山市,
1,火眼科技（天津）有限公司,河北省,衡水市,桃城区
2,郑州玉带信息技术有限责任公司,河南省,郑州市,二七区
3,广东天勤科技有限公司,广东省,梅州市,兴宁市
4,武汉赢月网络科技有限公司,湖北省,武汉市,洪山区
5,陕西润古网络科技有限公司,陕西省,西安市,雁塔区
6,江西天华新瑞信息技术有限公司南昌分公司,江西省,南昌市,南昌县
7,遵义小红椒网络科技有限公司,贵州省,遵义市,红花岗区
8,广州小檬信息科技有限公司,广东省,广州市,海珠区
9,娄底宇麒科技有限责任公司,湖南省,娄底市,娄星区
10,南阳市微企胜网络科技有限公司,河南省,南阳市,卧龙区
11,贵州黔狐科技股份有限公司,贵州省,铜仁市,碧江区
12,深圳市芒果松科技有限公司,广东省,深圳市,龙华区
13,长春信航科技有限公司,吉林省,长春市,南关区
14,上海奇杲科技有限公司,河南省,郑州市,二七区
15,上海信栖网络科技有限公司,上海市,上海市,闵行区
16,浙江星河微网能源科技有限公司,浙江省,杭州市,余杭区
17,潮州市鲁迪信息科技有限公司,广东省,潮州市,潮安区
18,贵州动点世纪科技有限公司,贵州省,贵阳市,云岩区
19,福州一瓦教育科技有限公司,福建省,泉州市,丰泽区
20,深圳市小河狸科技有限公司,广东省,深圳市,南山区
21,广西云创引力信息科技有限公司,广西壮族自治区,玉林市,玉州区
22,南昌市云科信息技术有限公司,江西省,南昌市,西湖区
23,南京速码信息科技有限公司,江苏省,南京市,江宁区
24,遵义云讯网络科技有限责任公司,贵州省,遵义市,汇川区
25,微趣软件（无锡）有限公司,江苏省,无锡市,梁溪区
26,西安开拓电气有限公司,陕西省,西安市,未央区
27,福州万悉地网络科技有限公司,福建省,福州市,闽侯县
28,西安拾久网络科技有限公司,陕西省,西安市,未央区
29,北京中环宏图软件有限公司,河北省,保定市,莲池区
30,广西杰思信息科技有限公司,广西壮族自治区,北海市,银海区
31,吉林省云领科技有限公司,吉林省,长春市,南关区
32,佛山市尚品优品科技有限公司,广东省,佛山市,顺德区
33,龙岩市新罗区创和智联贸易有限公司,福建省,龙岩市,新罗区
34,吉林省集星科技有限公司,吉林省,长春市,朝阳区
35,广州豆苗信息科技有限公司,广东省,广州市,番禺区
36,华勤技术股份有限公司,江苏省,无锡市,新吴区
37,广元匠艺软件开发有限公司,四川省,广元市,利州区
38,福州乐焰数据科技有限公司,福建省,福州市,闽侯县
39,河北润华工程建设设计有限公司,河北省,石家庄市,新华区
40,长春弘毅通信科技有限公司,辽宁省,抚顺市,新抚区
41,广州漫薪网络科技有限公司,广东省,广州市,天河区
42,广州八斗软件科技有限公司,广东省,广州市,越秀区
43,南京苏艾科软件技术有限公司,江苏省,南京市,江宁区
44,西安仟佰字码信息技术服务有限公司,陕西省,西安市,雁塔区
45,重庆东磐科技有限公司,重庆市,重庆市,大渡口区
46,纳思达科技（大连）有限公司,辽宁省,大连市,高新技术产业园区
47,深圳摩米贝尔科技有限公司,广东省,深圳市,宝安区
48,南昌象牙网络科技有限公司,江西省,南昌市,南昌县
49,宜阳县七度软件开发工作室,河南省,洛阳市,洛龙区
50,辽宁瑞丰自动控制有限公司,辽宁省,鞍山市,立山区
51,海之诺传媒（大连）有限公司,辽宁省,大连市,甘井子区
52,山西灿森网络科技有限公司,山西省,晋城市,城区
53,浙江衢州鹿鸣信息技术有限公司,浙江省,衢州市,柯城区
54,湖北朋悦科技集团有限公司,湖北省,武汉市,蔡甸区
55,先之（杭州）教育科技有限公司,浙江省,杭州市,西湖区
56,广西依客科技有限公司,广西壮族自治区,南宁市,兴宁区
57,安庆市宾利知识产权运营管理有限公司,安徽省,安庆市,宜秀区
58,江西莫比乌斯科技有限公司,江西省,南昌市,南昌县
59,吉奥时空信息技术股份有限公司,湖北省,武汉市,洪山区
60,北京熵比特科技有限公司,北京市,北京市,丰台区
61,重庆夸米网络科技有限公司,河南省,开封市,鼓楼区
62,山东翔卡电子商务有限公司,山东省,济宁市,任城区
63,太原言必行科技有限责任公司,山西省,太原市,尖草坪区
64,天津联筑建筑科技有限公司,重庆市,重庆市,南岸区
65,内蒙古安洛凯工程技术咨询有限公司,内蒙古自治区,包头市,昆都仑区
66,北京睿智皓天微电子科技有限公司,四川省,成都市,武侯区
67,重庆领达信息技术有限公司,重庆市,重庆市,渝北区
68,北京智源视界科技有限公司,北京市,北京市,海淀区
69,镇江拓蝶软件科技有限公司,江苏省,镇江市,丹阳市
70,自贡兴建建设项目管理有限公司,四川省,自贡市,自流井区
71,宿州仕良信息科技有限公司,安徽省,宿州市,埇桥区
72,武汉世纪先锋网络技术有限公司,湖北省,武汉市,武昌区
73,东营市传智信息技术有限公司,山东省,东营市,东营区
74,河北云猫众创空间有限公司,河北省,石家庄市,长安区
75,易视线（厦门）科技有限公司,福建省,厦门市,思明区
76,北京尔希科技有限公司,河南省,焦作市,山阳区
77,佛山市亿货郎电子商务有限公司,广东省,佛山市,南海区
78,成都华企网通科技有限公司,四川省,成都市,龙泉驿区
79,广西栗鼠科技有限公司,广西壮族自治区,南宁市,西乡塘区
80,海南金轩企业管理有限公司,海南省,,澄迈县
81,上海虎联信息科技有限公司,河南省,南阳市,宛城区
82,长春市飞秋科技有限公司,吉林省,长春市,朝阳区
83,柳州市光迅科技有限责任公司,广西壮族自治区,柳州市,鱼峰区
84,深圳市培林体育科技有限公司,广东省,揭阳市,揭西县
85,肇庆云虫科技有限公司,广东省,肇庆市,端州区
86,成都虚世地理科技有限公司,四川省,成都市,锦江区
87,青岛康裕达科技有限公司,山东省,青岛市,市北区
88,杭州陆港科技有限公司,浙江省,杭州市,临平区
89,湖北致慧信息技术有限公司,湖北省,宜昌市,西陵区
90,福州知止网络技术有限公司,福建省,南平市,延平区
91,巴尔瑙尔科技,重庆市,重庆市,巴南区
92,福州一城信息科技有限公司,福建省,福州市,仓山区
93,上海逐一软件科技有限公司,江西省,南昌市,南昌县
94,中地设计集团有限公司朝阳分公司,辽宁省,朝阳市,双塔区
95,浙江云会科技有限公司,浙江省,宁波市,海曙区
96,大理市云桥宽频信息科技有限责任公司,云南省,大理白族自治州,大理市
97,浙江众启网络科技有限公司,浙江省,金华市,金东区
98,深圳市掌控移动软件有限公司,广东省,深圳市,龙华区
99,舟山市唯芸社信息科技有限公司,浙江省,舟山市,普陀区
100,山东铝谷数据科技有限公司,山东省,滨州市,邹平市
101,广东康顺健康管理有限公司,广东省,中山市,
102,淘鱼科技,浙江省,杭州市,滨江区
103,四川瑞晨消防工程有限公司,四川省,泸州市,江阳区
104,南昌乐酷科技有限公司,江西省,南昌市,南昌县
105,西安平衡语言科技有限公司,陕西省,西安市,未央区
106,山西润源项目管理咨询有限公司,山西省,太原市,尖草坪区
107,江西优尚科技有限公司,江西省,南昌市,南昌县
108,广西国信云服科技有限公司,广西壮族自治区,南宁市,青秀区
109,嘉兴想天信息科技有限公司,浙江省,嘉兴市,桐乡市
110,陕西中源纵横造价咨询有限公司,陕西省,商洛市,商州区
111,河北洲德信息技术有限公司,四川省,广元市,利州区
112,沈阳柏瑞思科技有限公司,辽宁省,沈阳市,铁西区
113,深圳千知鱼文化设计有限公司,广东省,深圳市,龙岗区
114,青岛铭尚电子信息工程有限公司,山东省,青岛市,胶州市
115,珠海市朝为软件科技有限公司,广东省,珠海市,香洲区
116,深圳三极丰科技有限公司,广东省,深圳市,龙岗区
117,江西领域建筑设计有限公司,江西省,新余市,渝水区
118,秦皇岛市易讯科技开发有限公司,河北省,秦皇岛市,海港区
119,苏州尚榜网络科技有限公司,江苏省,南京市,江宁区
120,惠州市云网客网络科技有限公司,广东省,惠州市,惠城区
121,石家庄沃龙软件服务有限公司,河北省,石家庄市,栾城区
122,通化北创控股（集团）有限公司,吉林省,通化市,通化县
123,先之（杭州）教育科技有限公司,浙江省,杭州市,西湖区
124,深圳市速易连科技有限公司,广东省,深圳市,龙华区
125,浙江众启网络科技有限公司,浙江省,金华市,金东区
126,陕西中源纵横造价咨询有限公司,陕西省,商洛市,商州区
