id,company,year_salary,low_year_salary,high_year_salary
0,广东倾云科技有限公司,26-52,26,52
1,火眼科技（天津）有限公司,24-48,24,48
2,郑州玉带信息技术有限责任公司,12-72,12,72
3,广东天勤科技有限公司,12-48,12,48
4,武汉赢月网络科技有限公司,24-36,24,36
5,陕西润古网络科技有限公司,24-36,24,36
6,江西天华新瑞信息技术有限公司南昌分公司,24-48,24,48
7,遵义小红椒网络科技有限公司,24-36,24,36
8,广州小檬信息科技有限公司,24-48,24,48
9,娄底宇麒科技有限责任公司,12-36,12,36
10,南阳市微企胜网络科技有限公司,24-72,24,72
11,贵州黔狐科技股份有限公司,12-24,12,24
12,深圳市芒果松科技有限公司,24-48,24,48
13,长春信航科技有限公司,24-48,24,48
14,上海奇杲科技有限公司,12-72,12,72
15,上海信栖网络科技有限公司,26-52,26,52
16,浙江星河微网能源科技有限公司,24-60,24,60
17,潮州市鲁迪信息科技有限公司,24-60,24,60
18,贵州动点世纪科技有限公司,24-48,24,48
19,福州一瓦教育科技有限公司,12-48,12,48
20,深圳市小河狸科技有限公司,24-84,24,84
21,广西云创引力信息科技有限公司,12-24,12,24
22,南昌市云科信息技术有限公司,12-48,12,48
23,南京速码信息科技有限公司,24-36,24,36
24,遵义云讯网络科技有限责任公司,24-36,24,36
25,微趣软件（无锡）有限公司,24-48,24,48
26,西安开拓电气有限公司,24-60,24,60
27,福州万悉地网络科技有限公司,24-48,24,48
28,西安拾久网络科技有限公司,24-48,24,48
29,北京中环宏图软件有限公司,24-72,24,72
30,广西杰思信息科技有限公司,24-36,24,36
31,吉林省云领科技有限公司,24-72,24,72
32,佛山市尚品优品科技有限公司,24-84,24,84
33,龙岩市新罗区创和智联贸易有限公司,24-36,24,36
34,吉林省集星科技有限公司,24-48,24,48
35,广州豆苗信息科技有限公司,24-48,24,48
36,华勤技术股份有限公司,26-91,26,91
37,广元匠艺软件开发有限公司,24-36,24,36
38,福州乐焰数据科技有限公司,24-60,24,60
39,河北润华工程建设设计有限公司,24-60,24,60
40,长春弘毅通信科技有限公司,24-36,24,36
41,广州漫薪网络科技有限公司,24-60,24,60
42,广州八斗软件科技有限公司,24-48,24,48
43,南京苏艾科软件技术有限公司,24-48,24,48
44,西安仟佰字码信息技术服务有限公司,12-24,12,24
45,重庆东磐科技有限公司,24-36,24,36
46,纳思达科技（大连）有限公司,12-24,12,24
47,深圳摩米贝尔科技有限公司,12-48,12,48
48,南昌象牙网络科技有限公司,12-24,12,24
49,宜阳县七度软件开发工作室,24-48,24,48
50,辽宁瑞丰自动控制有限公司,24-84,24,84
51,海之诺传媒（大连）有限公司,24-60,24,60
52,山西灿森网络科技有限公司,24-60,24,60
53,浙江衢州鹿鸣信息技术有限公司,24-48,24,48
54,湖北朋悦科技集团有限公司,24-36,24,36
55,先之（杭州）教育科技有限公司,24-36,24,36
56,广西依客科技有限公司,24-48,24,48
57,安庆市宾利知识产权运营管理有限公司,24-36,24,36
58,江西莫比乌斯科技有限公司,24-48,24,48
59,吉奥时空信息技术股份有限公司,24-48,24,48
60,北京熵比特科技有限公司,24-48,24,48
61,重庆夸米网络科技有限公司,24-36,24,36
62,山东翔卡电子商务有限公司,24-36,24,36
63,太原言必行科技有限责任公司,12-48,12,48
64,天津联筑建筑科技有限公司,24-72,24,72
65,内蒙古安洛凯工程技术咨询有限公司,24-84,24,84
66,北京睿智皓天微电子科技有限公司,24-84,24,84
67,重庆领达信息技术有限公司,24-60,24,60
68,北京智源视界科技有限公司,24-48,24,48
69,镇江拓蝶软件科技有限公司,24-72,24,72
70,自贡兴建建设项目管理有限公司,24-84,24,84
71,宿州仕良信息科技有限公司,24-60,24,60
72,武汉世纪先锋网络技术有限公司,24-36,24,36
73,东营市传智信息技术有限公司,24-36,24,36
74,河北云猫众创空间有限公司,12-24,12,24
75,易视线（厦门）科技有限公司,24-36,24,36
76,北京尔希科技有限公司,24-84,24,84
77,佛山市亿货郎电子商务有限公司,24-48,24,48
78,成都华企网通科技有限公司,24-48,24,48
79,广西栗鼠科技有限公司,12-24,12,24
80,海南金轩企业管理有限公司,24-36,24,36
81,上海虎联信息科技有限公司,24-48,24,48
82,长春市飞秋科技有限公司,24-36,24,36
83,柳州市光迅科技有限责任公司,24-60,24,60
84,深圳市培林体育科技有限公司,24-36,24,36
85,肇庆云虫科技有限公司,24-60,24,60
86,成都虚世地理科技有限公司,24-48,24,48
87,青岛康裕达科技有限公司,24-60,24,60
88,杭州陆港科技有限公司,26-39,26,39
89,湖北致慧信息技术有限公司,24-48,24,48
90,福州知止网络技术有限公司,24-60,24,60
91,巴尔瑙尔科技,24-36,24,36
92,福州一城信息科技有限公司,24-48,24,48
93,上海逐一软件科技有限公司,24-36,24,36
