id,company,title,salary,education,description,hiring_manager,last_active,address,link
8192,先之（杭州）教育科技有限公司,前端开发工程师(实习生),2-3K,大专,岗位内容：1、负责公司产品开发和维护；2、根据产品需求完成模块设计、编码、自测工作3、按照项目计划，遵循公司相关流程按时提交高质量代码，完成开发任务；4、对产品进行性能优化，确保优质的用户体验；5、与产品、项目经理、测试部门沟通保证产品的质量和开发进度；6、确保高还原度的完成项目开发，并且有主动意识提出产品体验改进建议;7、完成领导交代的其他任务；岗位要求：1、计算机相关专业，在校/应届本科及以上；2、熟悉HTML、CSS、JavaScript等前端技术，具有良好的前端开发基础；3、了解React、Vue框架优先;4、能熟练使用git代码管理；5、自我管理能力良好，具备较高目标导向和团队合作精神，有快速学习能力，擅长沟通；6.日薪120-150元/天    每周工作3天以上。,吴丹,刚刚活跃,杭州西湖区西溪科创园9幢9楼,https://www.zhipin.com/job_detail/7ee37c6dce8753761Xx-3d25GFFY.html?lid=5lC8gZBFlmL.search.271&securityId=xWurGqOAw34g6-B1DyUK_Tb1h8bJBppIb7o57T_XK33eNToymFRE48Z9yJ5vSHXEbPCu3mEkfEF3rdU9BAtinoY6r3jcEm2nTUMEFC40D8ytgwRLasbL&sessionId=
2,郑州玉带信息技术有限责任公司,实习web前端开发工程师,1-6K,大专,参加公司自研产品的Web和微信端小程序开发，使用vue、elementUI和eCharts，前后端分离（后端JAVA）。不出差，不外派，就在郑州二七区做开发。实习工资（阶梯式）：前3月根据能力1-2k，然后每3个月加一次工资。,郭先生,刚刚活跃,郑州二七区升龙世纪花园壹区1号楼,https://www.zhipin.com/job_detail/83875f1369c538c11XZ-2d25FFFS.html?lid=6GPZx3II9Bv.search.33&securityId=n3MA2JOuS73KT-r1Nlxh3kvZXvOSHC90ilAlsoq9BoEQNPciyid8x5k0L-00ebcywNukntgNMy7nHJ9UbCveHbRprqwfFIiWnyqr-mwErc-NXnUyGRaRIkrK8wC9TUTcGb2WteIM8rdlAA~~&sessionId=
3,广东天勤科技有限公司,兴宁前端、程序员实习生,1-4K,大专,实习生要求：1、需要在梅州兴宁市长期工作（家在梅州市内）2、统招全日制大专或以上学历的应届毕业生（或实习生）3、入职进来接受前端+后端的综合技术学习（专人指导）4、在大学期间有接触过编程或者网页制作相关工作5、不接受短期实习，实习完成转正至少需要工作一年以上6、要求看书学习的习惯，能接受高强度学习要求，晚上能持续看书使用技术栈：用Python开发后端，框架是Flask，数据库是MongoDB和Redis，前端用VUE，我们要求每个技术都是全栈的，进来都会有人指导学习技术，如果你想入职我们公司，可以看下我们使用的技术这些（下载地址包括中文路径）， https://crx.tqdn.cn/soft/天勤科技-前端考核题.zip 公司业务：广东天勤科技有限公司是一家从事电商大数据的技术型互联网企业 ，五十多人的团队，技术占比三分之二，具有国内领先的大数据信息采集、存储、分析解决方案和信息技术服务提供商，研发出多款国内领先产品。,林先生,在线,梅州兴宁市天勤网络37号,https://www.zhipin.com/job_detail/9a7d1cb58dc773e01nR539m-EVJZ.html?lid=6GPZx3II9Bv.search.34&securityId=H2jPlD4r0vFF9-A1vCncuTcKvE19ZBYrHfAEfTeCLREMWZ-9-ZYopW84XxZBjtFEbwzru-L7L6nc-A8xUa5D3zxHORfInDO2pc_NnfK3oX3fJf_Amb9cR-9qt1z9nY0Arnb54nGYzLWI_N5mBM9UJbxAlodWzLYXl9NxANWFwjbAEHCtXQ%7E%7E&sessionId=
5,陕西润古网络科技有限公司,web前端实习生,2-3K,大专,1.专科以上学历（含），计算机、通信、电子等相关专业；2.热爱软件开发工作，对移动产品有浓厚兴趣，对移动产品有较好的个人理解；3.具备良好的沟通协调能力，与团队保持良好沟通，协调项目资源、保证项目进度、监控项目质量；4.本岗位欢迎优秀应届毕业生前来应聘（学习能力强者可宽松学历要求）公司可接受应届毕业生，提供实习岗位。,南旋,3日内活跃,西安雁塔区西安高新技术产业开发区(锦业路),https://www.zhipin.com/job_detail/0e38c541b625b3f21HN43du_FlQ~.html?lid=6GPZx3II9Bv.search.36&securityId=eFkE7dNdtbybm-d1f-aI8b96mfLkyK1tFjpcj5IKo88LK7-bsZ4ya_61kxMdKq5d856qHpXZMSsKexwDa3CmB6P8hpgREcxRThUrdz5YVPMew1P-PDTEUFPEAFLqA5v7L9v9mz3_qA~~&sessionId=
6,江西天华新瑞信息技术有限公司南昌分公司,WEB前端开发实习生,2-4K,大专,职位描述：-负责公司项目网页前端设计、制作和维护。-网页互动服务产品的研发。-网页相关设计方案的文档编撰。-项目web前端简单的UI设计和资源处理。-项目APP前端(web封装)的UI设计和逻辑开发。 任职要求：-大专及以上学历-熟悉Html+css/javascript，了解Html5+css3，有实际项目经验优先。-熟悉jquery+bootstrap开发，有相应的工作经验。-有vue/react/angular使用经验，了解mvvm者优先。-懂得ps等图片处理软件，能进行简单UI设计优先。-有商业项目开发或github开源项目开发经验优先。-有良好的沟通能力和团队意识，工作主动热情，有责任心，学习能力强。福利待遇：-依法享受国家法定节假日及带薪年假-绩效奖金：会根据参与项目贡献度实际发放-五险一金：养老保险、医疗保险、工伤保险、失业保险、生育保险、公积金-三节福利：端午节福利、中秋节福利、春节福利-公司团建旅游：公司每年会组织大家团建旅游活动-不定期素质拓展：根据项目完成情况，组织相关市内素质拓展活动-定期体检：公司每年会组织定期体检-不定期团建聚餐：法定节假日、各类特殊日期等-团建观影：根据项目进度，组织观看当下热门电影-下午茶：披萨、卤味、咖啡、奶茶、炸鸡、水果、小零食等随机搭配-高温补贴（夏日饮品）：夏季高温期间（7、8、9月），按照发放防暑清凉饮料形式发放-应届毕业生专属租房补贴福利-公司私人厨师做饭，可提供丰富的午餐-不定期组织能力培训及相关技术学习分享,王浡,刚刚活跃,南昌萍钢总部大楼(东门)1302,https://www.zhipin.com/job_detail/d9de2ade256189e91nN40t-9EVVY.html?lid=6GPZx3II9Bv.search.37&securityId=rymFUj5eZf3zH-X1Er2CNxO2jpoy2Jvq3sNVGbyATs5ZymPHi_jemBh-Il1f0SjYooe_qYg2mw43skf78fdDDHRw037ZQsL_pot3zu99SRwfFa_8PvkaYKVXTkbveHQigVgHKeWeT6N_Bw~~&sessionId=
7,遵义小红椒网络科技有限公司,前端开发（接受实习生）,2-3K,大专,任职要求：1、精通HTML/CSS/JavaScript，有良好的编码习惯，有代码洁癖者优先；2、熟悉JS技术，包括AJAX、DOM、JSON、熟悉Vue；3、较强的学习能力、逻辑思维能力、良好的沟通能力、团队协作精神；4、有常见框架（uni/Element）项目经验者优先。5、熟悉小程序，公众号开发优先考虑招聘说明：优先考虑22年毕业生，要求有一定实践经验，肯吃苦，学习沟通能力强,张先生,3日内活跃,遵义红花岗区中关村遵义创业中心3层A区,https://www.zhipin.com/job_detail/e345caf076d3d0d11XR40tq4F1VZ.html?lid=6GPZx3II9Bv.search.38&securityId=_qfzUsTuWvA72-Q1VTTaQZEpxJoPpjiRCcaV7YFRXrvDvCy1Hw4AOIjorMBI2cy58XD2P-skAk480dfOgL4vHpWjlwcx_YJgJWY-qSiJ1pIbCdPW3ZlKgH-EpQbfLCQm2YYpumWH3w%7E%7E&sessionId=
8,广州小檬信息科技有限公司,Web前端开发工程师(实习）,2-4K,大专,【岗位职责】1)负责公司相关web产品的前端开发；【岗位要求】1)工作经验无要求，但需要有编码经验；2)熟悉 Javascript/CSS/HTML；3)了解相关 web 规范标准，了解模块化开发，了解前端组件化概念；4)至少了解一门服务器端相关技术；5)有技术博客者优先；【职位吸引】1)完善的前端培训体系，团队发展空间大，利于个人的成长；2)良好的技术氛围，团队大牛多，可随时与他们讨论和交流；,黄均河,本周活跃,广州海珠区保利叁悦广场C塔1005,https://www.zhipin.com/job_detail/9da6647fc2ba5bb01n1z0tS8F1c~.html?lid=6GPZx3II9Bv.search.39&securityId=FM6fMaPJnfQTc-x1mkNP1jxkKeNzYXVYmTxL0ft80_zVuDVCArMX0IYOGS4CFDKZrKuX6--doHhW-Oz7l-2nn4X79YNwDiJGVbU7s2uoUS_egFpeieC7N_oCR5tBsr-Fz1Ju4j5Qmw%7E%7E&sessionId=
8200,北京智源视界科技有限公司,Web前端开发工程师（实习生）,2-4K,大专,"技能要求：JavaScript, CSS, html职位名称：前端开发工程师招聘人数：4学历要求：本科及以上专业要求：计算机或电子通信相关专业毕业任职要求：1. 具有扎实的计算机基础知识，熟悉和掌握软件开发的基本概念和流程、有软件开发经验者优先。2. 良好的沟通能力，团队意识强，善于发现问题并推动解决问题。3. 工作积极主动，具有较强的自主学习能力，吃苦耐劳。",栗哲,本月活跃,北京海淀区清华科技园玉泉慧谷33栋,https://www.zhipin.com/job_detail/709e37ed3762558f1nd43dW8F1JR.html?lid=5lC8gZBFlmL.search.279&securityId=a6tOnyLeuufDQ-P1piR3zcL_SwM62hXZumFnO7SmfZqZVQ-HPM0YF2hqc_pbz4acfG0zEzUl5Yhvaahfh-3EFSve8IZi4vNrjTJj1Fql0j7Kq542Cw%7E%7E&sessionId=
10,南阳市微企胜网络科技有限公司,前端、后端实习生,2-6K,大专,1、16岁以上男女均可， 如有大专及以上学历，计算机、数学、财务类、机电类、电子类、网络类及相关理工科专业毕业优先。2、热爱软件开发行业，善于学习和总结分析；有无经验均可。3、做事认真、细心、负责，能够专心学习技术。4、有良好的工作态度和团队合作精神。5、优秀的应往届毕业生可适当放宽条件。,叶先生,半年前活跃,南阳卧龙区兴达国际D座903,https://www.zhipin.com/job_detail/79fd5eaca5b5082b1nZz2Nu5EFFX.html?lid=6GPZx3II9Bv.search.41&securityId=MO0leHOQjhda6-Q1FkSs5h7SxycEnCxfkQh-M_9s6VEzkhhjFzA2AUROkvi77ITD28_tVQLvz-Rz7C6w8uKNmZrbUuCRXemEhggdFGuYDpn3cwQKExt06JqceKZDqvxWIVqO1ZltmIY%7E&sessionId=
11,贵州黔狐科技股份有限公司,前端开发实习岗,1-2K,大专,实习岗：需要有上进心，能吃苦好学，工作态度不端正的勿扰。1、需掌握html+CSS的写法，主要工作学习编辑网页模板，有资深前端工程师指导。2、运用 HTML、CSS、JavaScript 等专业技能和工具，从事网站产品的开发。,杨先生,3月内活跃,铜仁碧江区麒龙国际会展城D2栋3楼,https://www.zhipin.com/job_detail/f12f1eeda3fbc69a1XB829m0FlFU.html?lid=6GPZx3II9Bv.search.42&securityId=wC6szutlFnLxb-k1DQDe-PPL3QQzSEuGprQJ2_djMKy65mZwPeMD0C5n-6nv3sqR2W_F5p9zsL7QxqncnsNM13oy3tqNrD0wSMVmBQKKjN9ODLlqwRVKGDcxzKSe2z65iX-NNjY3Qj-N&sessionId=
